FID,id,country,latitude,longitude,area_type,sexes,number_males,number_males_deficient,number_females,number_females_deficient,citation,area_size,country_id,malaria_metrics_available
G6PD_Data.348,348,Indonesia,-7.785,110.366,Small polygon,Male,145,11,,,"Suryantoro, P. (2003). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in Yogyakarta and its surrounding areas."" Southeast Asian J Trop Med Public Health 34 Suppl 3: 138-139.",30,IDN,true
G6PD_Data.349,349,Indonesia,-9.556,119.416,Admin2 centroid,Both,100,16,110,25,"Shimizu, H., M. Tamam, et al. (2005). ""Glucose-6-phosphate dehydrogenase deficiency and Southeast Asian ovalocytosis in asymptomatic Plasmodium carriers in Sumba island, Indonesia."" J Hum Genet 50(8): 420-424.",2963,IDN,true
G6PD_Data.350,350,Iran,29.602,52.531,Small polygon,Male,450,27,,,"Amoozegar, H., M. Mirshekari, et al. (2006). ""Does the history before blood transfusion identify donors who are glucose-6-phosphate dehydrogenase (G-6-PD) deficient?"" Turkish Journal of Hematology 23(3): 147-150.",50,IRN,true
G6PD_Data.351,351,Iran,37.2485,55.3266,Digitised polygon,Both,21,3,23,1,"Kirk, R. L., B. Keats, et al. (1977). ""Genes and people in the Caspian Littoral: a population genetic study in Northern Iran."" Am J Phys Anthropol 46(3): 377-390.",1073,IRN,true
G6PD_Data.352,352,Iran,36.518,52.4957,Digitised polygon,Both,32,4,31,3,"Kirk, R. L., B. Keats, et al. (1977). ""Genes and people in the Caspian Littoral: a population genetic study in Northern Iran."" Am J Phys Anthropol 46(3): 377-390.",3161,IRN,true
G6PD_Data.353,353,Iran,35.218,59.716,Large polygon,Both,39,5,53,0,"Ohkura, K., T. Miyashita, et al. (1984). ""Distribution of polymorphic traits in Mazandaranian and Guilanian in Iran."" Hum Hered 34(1): 27-39.",2827,IRN,true
G6PD_Data.354,354,Iran,37.276,49.591,Large polygon,Both,42,2,57,3,"Ohkura, K., T. Miyashita, et al. (1984). ""Distribution of polymorphic traits in Mazandaranian and Guilanian in Iran."" Hum Hered 34(1): 27-39.",2827,IRN,true
G6PD_Data.355,355,Iran,36.672,48.484,Point,Male,1500,33,,,"Mortazavi, Y. M., M. S. Soleimani, et al. (2008). ""The Frequency and Molecular Genetics of G6pd Deficiency in Northwest and Southeast of Iran."" Haematologica-the Hematology Journal 93: 485-486.",10,IRN,true
G6PD_Data.356,356,Iran,27.207,60.688,Point,Male,305,59,,,"Mortazavi, Y. M., M. S. Soleimani, et al. (2008). ""The Frequency and Molecular Genetics of G6pd Deficiency in Northwest and Southeast of Iran."" Haematologica-the Hematology Journal 93: 485-486.",10,IRN,true
G6PD_Data.844,844,Philippines,8.613,123.661,Point,,,,,,"Padilla, C. (2011). ""Unpublished data from the Philippines.""",10,PHL,false
G6PD_Data.357,357,Iran,31.317,48.684,Wide area,Male,1064,81,,,"Nezhad, S. R. K., A. Mashayekhi, et al. (2009). ""Prevalence and Molecular Identification of Mediterranean Glucose-6-Phosphate Dehydrogenase Deficiency in Khuzestan Province, Iran."" Iranian Journal of Public Health 38(3): 127-131.",25,IRN,true
G6PD_Data.358,358,Iran,34.309,47.057,Point,Male,1000,53,,,"Rahimi, Z., A. V. Raygani, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency among schoolboys in Kermanshah, Islamic Republic of Iran."" East Mediterr Health J 14(4): 978-979.",10,IRN,true
G6PD_Data.359,359,Iran,36.0064,45.8265,Admin2 centroid,Male,39,3,,,"Lehmann, H., F. Ala, et al. (1973). ""Biological studies of Yemenite and Kurdish Jews in Israel and other groups in south-west Asia. XI. The hereditary blood factors of the Kurds of Iran."" Phil Trans R Soc London B 266: 195-205.",1464,IRN,true
G6PD_Data.360,360,Iran,35.3587,46.9609,Admin2 centroid,Male,34,1,,,"Lehmann, H., F. Ala, et al. (1973). ""Biological studies of Yemenite and Kurdish Jews in Israel and other groups in south-west Asia. XI. The hereditary blood factors of the Kurds of Iran."" Phil Trans R Soc London B 266: 195-205.",2087,IRN,true
G6PD_Data.363,363,Israel,31.957,34.841,Point,Both,5501,216,5137,168,"Zaidman, J. L., H. Leiba, et al. (1976). ""Red cell glucose-6-phosphate dehydrogenase deficiency in ethnic groups in Israel."" Clin Genet 9(2): 131-133.",10,ISR,true
G6PD_Data.364,364,Israel,32.059,34.762,Small polygon,Both,3847,265,3597,95,"Milbauer, B., N. Peled, et al. (1973). ""Neonatal hyperbilirubinemia and glucose-6-phosphate dehydrogenase deficiency."" Isr J Med Sci 9(11): 1547-1552.",77,ISR,true
G6PD_Data.367,367,Italy,40.7572,8.5987,Digitised polygon,Both,2746,199,2521,144,"Bottini, N., G. Meloni, et al. (2001). ""Cyclic seasonal variation of G-6-PD deficiency in newborn infants from Sardinia."" Biological Rhythm Research 32(4): 413-421.",2030,ITA,true
G6PD_Data.368,368,Italy,39.39,9.04,Point,Male,176,33,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.369,369,Italy,39.701,9.1,Point,Male,87,20,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.370,370,Italy,39.751,8.628,Point,Male,76,27,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.371,371,Italy,45.478,9.181,Small polygon,Male,21118,176,,,"Gualandri, V., G. B. Orsini, et al. (1983). ""[Glucose-6-phosphate dehydrogenase deficiency among the student population of Milan]."" J Genet Hum 31(3): 201-209.",70,ITA,true
G6PD_Data.372,372,Italy,38.125,13.356,Point,Female,,,500,10,"Moscarelli, G., G. Ferraro, et al. (1999). ""Screening della glucosio 6 fosfato deidrogenasi in 500 gravide."" Giornale Italiano di Ostetricia e Ginecologia 21(1): 27-28.",10,ITA,true
G6PD_Data.373,373,Italy,39.935,16.601,Point,Male,102,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.374,374,Italy,39.55,16.799,Point,Male,48,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.375,375,Italy,39.501,16.749,Point,Male,109,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.376,376,Italy,39.492,16.939,Point,Male,315,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.377,377,Italy,39.78,16.318,Point,Male,309,6,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.378,378,Italy,39.595,16.509,Point,Male,830,19,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.379,379,Italy,39.514,16.725,Point,Male,83,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.380,380,Italy,39.567,16.766,Point,Male,322,5,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.381,381,Italy,39.821,16.384,Point,Male,78,6,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.382,382,Italy,39.468,16.833,Point,Male,122,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.383,383,Italy,40.042,16.527,Point,Male,27,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.384,384,Italy,39.484,16.817,Point,Male,55,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.385,385,Italy,40.115,16.579,Point,Male,64,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.386,386,Italy,39.99,16.595,Point,Male,27,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.387,387,Italy,39.589,16.627,Point,Male,902,15,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.388,388,Italy,39.446,16.89,Point,Male,66,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.389,389,Italy,39.468,16.95,Point,Male,44,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.390,390,Italy,39.87,16.529,Point,Male,249,4,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.391,391,Italy,39.851,16.452,Point,Male,103,7,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.392,392,Italy,39.697,16.129,Point,Male,189,5,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.393,393,Italy,39.515,16.287,Point,Male,358,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.394,394,Italy,39.367,16.3,Point,Male,36,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.395,395,Italy,39.299,16.183,Point,Male,68,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.396,396,Italy,39.289,16.26,Point,Male,1106,22,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.397,397,Italy,39.567,16.055,Point,Male,182,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.398,398,Italy,39.468,16.132,Point,Male,137,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.399,399,Italy,39.451,16.283,Point,Male,200,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.400,400,Italy,39.595,16.05,Point,Male,87,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.401,401,Italy,39.318,16.169,Point,Male,48,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.402,402,Italy,39.303,16.175,Point,Male,37,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.403,403,Italy,39.528,16.109,Point,Male,102,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.404,404,Italy,39.4,16.15,Point,Male,187,6,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.405,405,Italy,39.652,16.061,Point,Male,59,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.406,406,Italy,39.335,16.184,Point,Male,478,5,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.407,407,Italy,39.617,16.16,Point,Male,222,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.408,408,Italy,39.4,16.283,Point,Male,153,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.409,409,Italy,39.468,16.116,Point,Male,28,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.410,410,Italy,39.617,15.982,Point,Male,109,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.411,411,Italy,39.34,16.14,Point,Male,70,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.620,620,Kenya,-3.5838,39.8028,Digitised polygon,,,,,,"Shah, S. S., A. Macharia, et al. (2011). Modeling the relationship between genotype and biochemotype at the G6PD locus in Kenya.",47,KEN,false
G6PD_Data.412,412,Italy,39.666,16.289,Point,Male,78,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.584,584,Italy,39.175,8.52,Point,Male,199,26,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.413,413,Italy,39.55,16.118,Point,Male,224,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.414,414,Italy,39.664,16.025,Point,Male,62,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.415,415,Italy,39.367,16.15,Point,Male,28,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.416,416,Italy,39.618,16.274,Point,Male,100,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.417,417,Italy,39.659,16.34,Point,Male,161,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.418,418,Italy,39.507,16.146,Point,Male,137,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.419,419,Italy,39.3,16.283,Point,Male,24,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.420,420,Italy,39.485,15.966,Point,Male,60,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.421,421,Italy,39.133,16.078,Point,Male,315,8,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.422,422,Italy,39.164,16.083,Point,Male,77,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.578,578,Italy,39.7,9.132,Point,Male,68,2,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.423,423,Italy,39.614,15.861,Point,Male,236,4,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.424,424,Italy,39.586,15.898,Point,Male,131,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.425,425,Italy,39.683,15.883,Point,Male,95,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.426,426,Italy,39.51,15.944,Point,Male,196,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.427,427,Italy,39.084,16.15,Point,Male,61,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.428,428,Italy,39.68,15.817,Point,Male,131,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.429,429,Italy,39.238,16.072,Point,Male,127,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.430,430,Italy,39.417,16.033,Point,Male,304,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.431,431,Italy,39.726,15.854,Point,Male,70,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.432,432,Italy,39.468,16.011,Point,Male,82,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.433,433,Italy,39.209,16.083,Point,Male,82,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.434,434,Italy,39.719,15.849,Point,Male,75,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.435,435,Italy,39.385,16.032,Point,Male,354,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.436,436,Italy,39.9,15.779,Point,Male,191,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.437,437,Italy,39.606,15.912,Point,Male,51,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.438,438,Italy,39.812,15.797,Point,Male,261,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.439,439,Italy,39.094,16.125,Point,Male,35,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.440,440,Italy,39.825,15.857,Point,Male,55,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.441,441,Italy,39.309,16.048,Point,Male,165,1,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.442,442,Italy,39.747,15.837,Point,Male,85,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.443,443,Italy,39.851,15.8,Point,Male,49,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.444,444,Italy,39.134,16.099,Point,Male,9,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.445,445,Italy,39.933,15.799,Point,Male,156,3,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.446,446,Italy,39.487,16.385,Point,Male,718,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.447,447,Italy,39.12,16.168,Point,Male,52,0,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.448,448,Italy,39.933,15.826,Point,Male,82,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
G6PD_Data.449,449,Italy,39.918,16.466,Point,Male,88,2,,,"Tagarelli, A., L. Bastone, et al. (1991). ""Glucose-6-phosphate dehydrogenase (G6PD) deficiency in southern Italy: a study on the population of the Cosenza province."" Gene Geogr 5(3): 141-150.",10,ITA,true
